"filename", "language", "Python", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "JavaScript", "PostCSS", "Markdown", "XML", "Shell Script", "Dotenv", "comment", "blank", "total"
"c:\projects\diploma\backend\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\projects\diploma\backend\animals\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\projects\diploma\backend\animals\admin.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\projects\diploma\backend\animals\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\projects\diploma\backend\animals\migrations\0001_initial.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"c:\projects\diploma\backend\animals\migrations\0002_adoption.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\projects\diploma\backend\animals\migrations\0003_order.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\projects\diploma\backend\animals\migrations\0004_order_user.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 22
"c:\projects\diploma\backend\animals\migrations\0005_delete_order.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 17
"c:\projects\diploma\backend\animals\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\projects\diploma\backend\animals\models.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 46
"c:\projects\diploma\backend\animals\serializers.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\projects\diploma\backend\animals\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\projects\diploma\backend\animals\urls.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\projects\diploma\backend\animals\views.py", "Python", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 193
"c:\projects\diploma\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\projects\diploma\backend\backend\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"c:\projects\diploma\backend\backend\settings.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 40, 175
